Classifier,Condition,Accuracy,Precision,Recall,F1_Score
SVM,original,0.994413407821229,0.9959839357429718,0.9957264957264957,0.9958292603453893
SGD,original,0.994413407821229,0.9959839357429718,0.9957264957264957,0.9958292603453893
Random_Forest,original,0.994413407821229,0.9957805907172995,0.9959349593495935,0.9958318679744181
MLP,original,0.994413407821229,0.9959839357429718,0.9957264957264957,0.9958292603453893
SVM,gaussian,0.994413407821229,0.9959839357429718,0.9957264957264957,0.9958292603453893
SGD,gaussian,0.994413407821229,0.9959839357429718,0.9957264957264957,0.9958292603453893
Random_Forest,gaussian,0.994413407821229,0.9957805907172995,0.9959349593495935,0.9958318679744181
MLP,gaussian,0.994413407821229,0.9959839357429718,0.9957264957264957,0.9958292603453893
SVM,jpeg,0.994413407821229,0.9959839357429718,0.9957264957264957,0.9958292603453893
SGD,jpeg,0.994413407821229,0.9959839357429718,0.9957264957264957,0.9958292603453893
Random_Forest,jpeg,0.994413407821229,0.9957805907172995,0.9959349593495935,0.9958318679744181
MLP,jpeg,0.994413407821229,0.9959839357429718,0.9957264957264957,0.9958292603453893
SVM,dpidown,0.9720670391061452,0.9791113194770015,0.979257869501772,0.9791593398720905
SGD,dpidown,0.88268156424581,0.9320388349514563,0.9102564102564102,0.9103103103103103
Random_Forest,dpidown,0.7486033519553073,0.8758459456133875,0.6882591093117408,0.724110528969463
MLP,dpidown,0.9329608938547486,0.9552429667519182,0.9489264123410465,0.949614233978901
SVM,crop,0.6312849162011173,0.7857142857142857,0.7187825724411091,0.6764111049825335
SGD,crop,0.547486033519553,0.5954761904761905,0.6550969355847405,0.5583132852178562
Random_Forest,crop,0.5698324022346368,0.7969745222929937,0.604796857685176,0.563033271313898
MLP,crop,0.770949720670391,0.8631239935587761,0.8256201792787158,0.8195149464184998
SVM,bitdepth,1.0,1.0,1.0,1.0
SGD,bitdepth,0.4860335195530726,0.7237237237237237,0.6135084427767356,0.47496114996114996
Random_Forest,bitdepth,0.994413407821229,0.9957805907172995,0.9959349593495935,0.9958318679744181
MLP,bitdepth,0.9832402234636871,0.9749446027223806,0.9875964144256827,0.9810445178543338
